SampleId,Area_Name,Area_Code,Latitude,Longitude,Year,Month,Day,Hour,Minute,PCI
440A--9,4.a,3,58.81,-2.0583,1986,3,5,0,29,0
440A--17,4.a,3,59.94,-1.1433,1986,3,4,19,26,0
441A--11,4.a,3,59.15,-1.3,1986,3,18,22,36,0
441M--1,4.b,2,57.238,-1.678,2016,8,10,14,10,6.5
442M--5,4.a,3,57.508,-0.643,2016,9,7,18,6,2
442M--11,4.a,3,57.918,1.063,2016,9,7,23,27,2
443A--7,4.a,3,58.4867,-1.44,1986,4,16,0,29,2
443A--13,4.a,3,59.48,-1.23,1986,4,15,20,5,2
443M--25,4.a,3,58.782,5.212,2016,10,13,10,20,1
444A--11,4.a,3,59.15,-1.3,1986,5,13,21,28,6.5
444M--7,4.a,3,57.652,-0.072,2016,11,9,20,29,1
445A--5,4.a,3,58.1567,-1.5083,1986,6,11,2,6,6.5
445A--11,4.a,3,59.15,-1.3,1986,6,10,22,10,6.5
445M--1,4.b,2,57.238,-1.647,2017,2,26,15,9,1
445M--9,4.a,3,57.805,0.602,2017,2,26,20,35,1
445M--25,4.a,3,58.81,5.305,2017,2,27,7,27,1
446A--9,4.a,3,58.8267,-1.6067,1986,7,8,22,47,6.5
446C--1,4.b,2,53.725,0.5417,1977,9,2,21,33,1
447A--3,4.a,3,57.8233,-1.6383,1986,8,13,3,12,2
447C--21,4.b,2,56.0467,4.7667,1977,11,19,12,30,0
448A--7,4.a,3,58.495,-1.77,1986,9,10,0,23,0
448C--9,4.b,2,54.6867,2.2733,1977,12,21,14,19,0
448R--5,4.c,1,52.0917,2.975,2001,9,20,17,11,1
448V--1,4.a,3,58.74,-3.36,1983,3,26,21,21,1
449BA-41,7.d,4,50.388,-1.713,2008,9,28,17,25,0
449C--21,4.b,2,56.07,4.8217,1978,2,11,16,49,0
449V--1,4.a,3,58.8733,-3.6133,1983,4,23,13,7,2
44DI-3,4.a,3,58.523,5.427,2020,8,15,22,40,1
44DI-11,4.a,3,59.353,3.403,2020,8,16,3,4,1
44DI-23,4.a,3,60.537,0.183,2020,8,16,9,41,1
44KC-7,4.a,3,57.85,4.327,2016,7,9,18,13,6.5
44KC-21,4.b,2,55.818,2.252,2016,7,10,5,42,2
44LE-9,4.b,2,55.11,1.175,1983,6,4,21,21,1
44LE-21,4.b,2,55.26,4.66,1983,6,5,3,17,0
44LG-1,4.c,1,52.1583,1.785,1984,11,18,5,58,0
44LG-19,4.b,2,54.5283,4.8567,1984,11,17,16,56,0
44LG-27,4.b,2,55.5833,6.28,1984,11,17,11,8,0
450A--3,4.a,3,57.825,-1.5767,1986,11,19,3,8,0
450R--6,4.c,1,52.1017,3.34,2001,11,12,15,31,1
